Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
99,2,Sep 6 2014,3:00 PM,Sat,California,55,,Sacramento State,14,Pac-12 Network,,
100,2,Sep 6 2014,12:00 PM,Sat,Central Michigan,38,@,Purdue,17,ESPNews,,
101,2,Sep 6 2014,12:30 PM,Sat,(23) Clemson,73,,South Carolina State,7,ACC Network ESPN3.com,,
102,2,Sep 6 2014,3:00 PM,Sat,Colorado,41,,Massachusetts,38,ESPN3.com,Gillette Stadium - Foxborough MA,
103,2,Sep 6 2014,12:00 PM,Sat,Connecticut,19,,Stony Brook,16,SNY,,
104,2,Sep 6 2014,7:00 PM,Sat,Duke,34,@,Troy,17,ESPN3.com,,
105,2,Sep 6 2014,3:30 PM,Sat,Eastern Kentucky,17,@,Miami (OH),10,ESPN3.com,,
106,2,Sep 6 2014,4:00 PM,Sat,Florida,65,,Eastern Michigan,0,SEC Network,,
107,2,Sep 6 2014,6:00 PM,Sat,Florida International,34,,Wagner,3,,,
108,2,Sep 6 2014,7:30 PM,Sat,(1) Florida State,37,,Citadel,12,RSN ESPN3.com MSG+,,
109,2,Sep 6 2014,6:00 PM,Sat,Georgia Southern,83,,Savannah State,9,ESPN3.com,,
110,2,Sep 6 2014,4:00 PM,Sat,Georgia Tech,38,@,Tulane,21,ESPNews,,
111,2,Sep 6 2014,8:00 PM,Sat,Houston,47,,Grambling State,0,ESPN3.com,,
112,2,Sep 6 2014,12:00 PM,Sat,Illinois,42,,Western Kentucky,34,Big Ten Network,,
113,2,Sep 6 2014,3:30 PM,Sat,Iowa,17,,Ball State,13,ESPN 2,,
114,2,Sep 6 2014,7:00 PM,Sat,Kansas,34,,Southeast Missouri State,28,JTV,,
115,2,Sep 6 2014,12:00 PM,Sat,(20) Kansas State,32,@,Iowa State,28,FS1,,
116,2,Sep 6 2014,3:30 PM,Sat,Kentucky,20,,Ohio,3,ESPN U,,
117,2,Sep 6 2014,7:30 PM,Sat,(12) Louisiana State,56,,Sam Houston State,0,SEC Network,,
118,2,Sep 6 2014,7:00 PM,Sat,Louisiana Tech,48,@,Louisiana-Lafayette,20,ESPN3.com,,
119,2,Sep 6 2014,7:00 PM,Sat,Louisiana-Monroe,38,,Idaho,31,ESPN3.com,,
120,2,Sep 6 2014,7:00 PM,Sat,(25) Louisville,66,,Murray State,21,ESPN3.com,,
121,2,Sep 6 2014,7:30 PM,Sat,Marshall,48,,Rhode Island,7,WCHS,,
122,2,Sep 6 2014,3:30 PM,Sat,Maryland,24,@,South Florida,17,CBSSN,,
123,2,Sep 6 2014,7:00 PM,Sat,Miami (FL),41,,Florida A&M,7,ESPN3.com,,
124,2,Sep 6 2014,3:30 PM,Sat,Minnesota,35,,Middle Tennessee State,24,Big Ten Network,,
125,2,Sep 6 2014,4:30 PM,Sat,(15) Mississippi,41,,Vanderbilt,3,ESPN,LP Field - Nashville TN,
126,2,Sep 6 2014,2:00 PM,Sat,Mississippi State,47,,Alabama-Birmingham,34,FSN,,
127,2,Sep 6 2014,12:00 PM,Sat,(24) Missouri,49,@,Toledo,24,ESPN,,
128,2,Sep 6 2014,1:00 PM,Sat,Navy,31,@,Temple,24,ESPN3.com,,
129,2,Sep 6 2014,12:00 PM,Sat,(19) Nebraska,31,,McNeese State,24,ESPN U,,
130,2,Sep 6 2014,10:00 PM,Sat,Nevada-Las Vegas,13,,Northern Colorado,12,,,
