Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
777,14,Nov 29 2014,7:05 PM,Sat,Cincinnati,,@,Temple,,,,Game Tickets
778,14,Nov 29 2014,7:05 PM,Sat,Connecticut,,@,Memphis,,,,
779,14,Nov 29 2014,7:05 PM,Sat,Florida,,@,(2) Florida State,,,,Game Tickets
780,14,Nov 29 2014,7:05 PM,Sat,Georgia Tech,,@,(10) Georgia,,,,Game Tickets
781,14,Nov 29 2014,7:00 PM,Sat,Hawaii,,@,Fresno State,,,,Game Tickets
782,14,Nov 29 2014,7:05 PM,Sat,Idaho,,@,Appalachian State,,,,
783,14,Nov 29 2014,7:05 PM,Sat,Illinois,,@,Northwestern,,,,Game Tickets
784,14,Nov 29 2014,7:05 PM,Sat,Kansas,,@,(14) Kansas State,,,,Game Tickets
785,14,Nov 29 2014,7:05 PM,Sat,Kentucky,,@,Louisville,,,,Game Tickets
786,14,Nov 29 2014,7:30 PM,Sat,Louisiana-Lafayette,,@,Troy,,,,
787,14,Nov 29 2014,6:00 PM,Sat,Louisiana-Monroe,,@,Georgia Southern,,,,
788,14,Nov 29 2014,7:05 PM,Sat,Michigan,,@,(13) Ohio State,,,,Game Tickets
789,14,Nov 29 2014,7:05 PM,Sat,(8) Michigan State,,@,Penn State,,,,Game Tickets
790,14,Nov 29 2014,7:00 PM,Sat,Middle Tennessee State,,@,Texas-El Paso,,American Sports Network,,
791,14,Nov 29 2014,7:05 PM,Sat,Minnesota,,@,Wisconsin,,,,Game Tickets
792,14,Nov 29 2014,7:05 PM,Sat,(1) Mississippi State,,@,(3) Mississippi,,,,Game Tickets
793,14,Nov 29 2014,7:05 PM,Sat,(19) Nebraska,,@,Iowa,,,,
794,14,Nov 29 2014,7:05 PM,Sat,Nevada,,@,Nevada-Las Vegas,,ESPN Networks,,
795,14,Nov 29 2014,3:00 PM,Sat,New Mexico State,,@,Arkansas State,,,,
796,14,Nov 29 2014,7:05 PM,Sat,North Carolina State,,@,North Carolina,,,,Game Tickets
797,14,Nov 29 2014,7:05 PM,Sat,North Texas,,@,Texas-San Antonio,,FS1 or FSN,,
798,14,Nov 29 2014,7:05 PM,Sat,(5) Notre Dame,,@,(22) Southern California,,,,Game Tickets
799,14,Nov 29 2014,12:00 PM,Sat,Old Dominion,,@,Florida Atlantic,,MyTVZ33,,
800,14,Nov 29 2014,7:05 PM,Sat,(9) Oregon,,@,Oregon State,,,,Game Tickets
801,14,Nov 29 2014,7:05 PM,Sat,Pittsburgh,,@,Miami (FL),,,,Game Tickets
802,14,Nov 29 2014,7:05 PM,Sat,Purdue,,@,Indiana,,,,Game Tickets
803,14,Nov 29 2014,12:00 PM,Sat,Rice,,@,Louisiana Tech,,CBSSN,,Game Tickets
804,14,Nov 29 2014,7:05 PM,Sat,Rutgers,,@,Maryland,,,,Game Tickets
805,14,Nov 29 2014,3:30 PM,Sat,San Jose State,,@,San Diego State,,CBSSN,,Game Tickets
806,14,Nov 29 2014,7:05 PM,Sat,South Carolina,,@,(24) Clemson,,,,Game Tickets
807,14,Nov 29 2014,7:05 PM,Sat,Syracuse,,@,Boston College,,,,Game Tickets
808,14,Nov 29 2014,7:05 PM,Sat,Tennessee,,@,Vanderbilt,,,,Game Tickets
809,14,Nov 29 2014,2:00 PM,Sat,Texas State,,@,Georgia State,,,,
810,14,Nov 29 2014,7:05 PM,Sat,Texas Tech,,,(4) Baylor,,,AT&T Stadium - Arlington TX,
811,14,Nov 29 2014,7:05 PM,Sat,(20) Utah,,@,Colorado,,,,Game Tickets
812,14,Nov 29 2014,7:05 PM,Sat,Utah State,,@,Boise State,,ESPN Networks,,Game Tickets
813,14,Nov 29 2014,7:05 PM,Sat,Wake Forest,,@,Duke,,,,Game Tickets
814,14,Nov 29 2014,7:05 PM,Sat,Washington,,@,Washington State,,,,Game Tickets
815,14,Nov 29 2014,7:05 PM,Sat,West Virginia,,@,Iowa State,,,,Game Tickets
816,14,Nov 29 2014,3:00 PM,Sat,Wyoming,,@,New Mexico,,ROOT Sports,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
817,15,Dec 4 2014,7:30 PM,Thu,Central Florida,,@,(18) East Carolina,,ESPN,,Game Tickets
818,15,Dec 6 2014,7:05 PM,Sat,Houston,,,Cincinnati,,,Paul Brown Stadium - Cincinnati OH,Game Tickets
819,15,Dec 6 2014,7:05 PM,Sat,Iowa State,,@,(12) Texas Christian,,,,Game Tickets
820,15,Dec 6 2014,7:05 PM,Sat,(14) Kansas State,,@,(4) Baylor,,,,Game Tickets
821,15,Dec 6 2014,7:05 PM,Sat,(15) Oklahoma State,,@,(11) Oklahoma,,,,Game Tickets
822,15,Dec 6 2014,7:05 PM,Sat,Southern Methodist,,@,Connecticut,,,,
823,15,Dec 6 2014,7:05 PM,Sat,Temple,,@,Tulane,,,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
824,16,Dec 13 2014,3:00 PM,Sat,Navy,,,Army,,CBS,M&T Bank Stadium - Baltimore MD,Game Tickets
