Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
132,2,Sep 10 2011,,Sat,UCLA,12:00 AM,,San Jose State,17,
133,2,Sep 10 2011,,Sat,Utah State,12:00 AM,,Weber State,17,
134,2,Sep 10 2011,,Sat,Vanderbilt,12:00 AM,,Connecticut,21,
135,2,Sep 10 2011,,Sat,Virginia,12:00 AM,@,Indiana,31,
136,2,Sep 10 2011,,Sat,(11) Virginia Tech,12:00 AM,@,East Carolina,10,
137,2,Sep 10 2011,,Sat,Wake Forest,12:00 AM,,North Carolina State,27,
138,2,Sep 10 2011,,Sat,Washington,12:00 AM,,Hawaii,32,
139,2,Sep 10 2011,,Sat,Washington State,12:00 AM,,Nevada-Las Vegas,7,Seattle WA
140,2,Sep 10 2011,,Sat,(19) West Virginia,12:00 AM,,Norfolk State,12,
141,2,Sep 10 2011,,Sat,Western Michigan,12:00 AM,,Nicholls State,7,
142,2,Sep 10 2011,,Sat,(8) Wisconsin,12:00 AM,,Oregon State,0,
143,2,Sep 10 2011,,Sat,Wyoming,12:00 AM,,Texas State,10,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
144,3,Sep 15 2011,,Thu,(3) Louisiana State,12:00 AM,@,(25) Mississippi State,6,
145,3,Sep 16 2011,,Fri,(4) Boise State,12:00 AM,@,Toledo,15,
146,3,Sep 16 2011,,Fri,Iowa State,12:00 AM,@,Connecticut,20,
147,3,Sep 17 2011,,Sat,(2) Alabama,12:00 AM,,North Texas,0,
148,3,Sep 17 2011,,Sat,(14) Arkansas,12:00 AM,,Troy,28,
149,3,Sep 17 2011,,Sat,Army,12:00 AM,,Northwestern,14,
150,3,Sep 17 2011,,Sat,Ball State,12:00 AM,,Buffalo,25,
151,3,Sep 17 2011,,Sat,(19) Baylor,12:00 AM,,Stephen F. Austin,0,
152,3,Sep 17 2011,,Sat,California,12:00 AM,,Presbyterian,12,San Francisco CA
153,3,Sep 17 2011,,Sat,Cincinnati,12:00 AM,,Akron,14,
154,3,Sep 17 2011,,Sat,Clemson,12:00 AM,,(21) Auburn,24,
155,3,Sep 17 2011,,Sat,Colorado,12:00 AM,,Colorado State,14,Denver CO
156,3,Sep 17 2011,,Sat,Duke,12:00 AM,@,Boston College,19,
157,3,Sep 17 2011,,Sat,(16) Florida,12:00 AM,,Tennessee,23,
158,3,Sep 17 2011,,Sat,Florida International,12:00 AM,,Central Florida,10,
159,3,Sep 17 2011,,Sat,Fresno State,12:00 AM,,North Dakota,22,
160,3,Sep 17 2011,,Sat,Georgia,12:00 AM,,Coastal Carolina,0,
161,3,Sep 17 2011,,Sat,Georgia Tech,12:00 AM,,Kansas,24,
162,3,Sep 17 2011,,Sat,Houston,12:00 AM,@,Louisiana Tech,34,
163,3,Sep 17 2011,,Sat,Illinois,12:00 AM,,(22) Arizona State,14,
164,3,Sep 17 2011,,Sat,Indiana,12:00 AM,,South Carolina State,21,
165,3,Sep 17 2011,,Sat,Indiana State,12:00 AM,@,Western Kentucky,16,
166,3,Sep 17 2011,,Sat,Iowa,12:00 AM,,Pittsburgh,27,
167,3,Sep 17 2011,,Sat,Kansas State,12:00 AM,,Kent State,0,
168,3,Sep 17 2011,,Sat,Louisiana-Lafayette,12:00 AM,,Nicholls State,21,
169,3,Sep 17 2011,,Sat,Louisville,12:00 AM,@,Kentucky,17,
170,3,Sep 17 2011,,Sat,Memphis,12:00 AM,,Austin Peay,6,
171,3,Sep 17 2011,,Sat,Miami (FL),12:00 AM,,(17) Ohio State,6,
172,3,Sep 17 2011,,Sat,Michigan,12:00 AM,,Eastern Michigan,3,
173,3,Sep 17 2011,,Sat,Minnesota,12:00 AM,,Miami (OH),23,
174,3,Sep 17 2011,,Sat,Missouri,12:00 AM,,Western Illinois,0,
175,3,Sep 17 2011,,Sat,(11) Nebraska,12:00 AM,,Washington,38,
176,3,Sep 17 2011,,Sat,Nevada,12:00 AM,@,San Jose State,14,
177,3,Sep 17 2011,,Sat,Nevada-Las Vegas,12:00 AM,,Hawaii,20,
178,3,Sep 17 2011,,Sat,North Carolina,12:00 AM,,Virginia,17,
179,3,Sep 17 2011,,Sat,North Carolina State,12:00 AM,,South Alabama,13,
180,3,Sep 17 2011,,Sat,Notre Dame,12:00 AM,,(15) Michigan State,13,
181,3,Sep 17 2011,,Sat,Ohio,12:00 AM,,Marshall,7,
182,3,Sep 17 2011,,Sat,(1) Oklahoma,12:00 AM,@,(5) Florida State,13,
183,3,Sep 17 2011,,Sat,(8) Oklahoma State,12:00 AM,@,Tulsa,33,
184,3,Sep 17 2011,,Sat,(12) Oregon,12:00 AM,,Missouri State,7,
185,3,Sep 17 2011,,Sat,Penn State,12:00 AM,@,Temple,10,
186,3,Sep 17 2011,,Sat,Purdue,12:00 AM,,Southeast Missouri State,0,
187,3,Sep 17 2011,,Sat,San Diego State,12:00 AM,,Washington State,24,
188,3,Sep 17 2011,,Sat,(10) South Carolina,12:00 AM,,Navy,21,
189,3,Sep 17 2011,,Sat,(20) South Florida,12:00 AM,,Florida A&M,17,
190,3,Sep 17 2011,,Sat,Southern California,12:00 AM,,Syracuse,17,
191,3,Sep 17 2011,,Sat,Southern Methodist,12:00 AM,,Northwestern State,7,
